District,Region,population_both,population_F,population_M,area_km2
Arusha,Arusha,364456,189882,174574,1241.39003
Arusha Urban,Arusha,365990,190797,175193,267.947907
Babati,Manyara,312392,153588,158804,5597.583992
Babati Urban,Manyara,93108,45795,47313,473.521882
Bagamoyo,Pwani,311740,157542,154198,8558.391247
Bahi,Dodoma,221645,115670,105975,5695.687652
Bariadi,Simiyu,400521,209448,191073,5495.569009
Biharamulo,Kagera,323486,162914,160572,7480.837844
Buhigwe,Kigoma,254342,133652,120690,1515.444814
Bukoba,Kagera,289697,148555,141142,1618.888942
Bukoba Urban,Kagera,128796,66275,62521,83.284637
Bukombe,Geita,224542,113685,110857,8089.422038
Bunda,Mara,335061,172820,162241,3096.80564
Busega,Simiyu,194183,99953,94230,1330.270514
Butiama,Mara,241732,124603,117129,2169.743963
Chamwino,Dodoma,330543,171661,158882,9244.029053
Chato,Geita,365127,183759,181368,3081.874913
Chemba,Dodoma,235711,118126,117585,7351.068443
Chunya,Mbeya,290478,145058,145420,29198.5188
Dodoma Urban,Dodoma,410956,211469,199487,2637.25144
Gairo,Morogoro,193011,99805,93206,1994.789649
Geita,Geita,800504,403494,397010,4719.182816
Hai,Kilimanjaro,210533,108076,102457,905.776624
Hanang,Manyara,275990,135778,140212,3697.551245
Handeni,Tanga,276646,139428,137218,6590.866828
Handeni Township Authority,Tanga,79056,40388,38668,845.058868
Igunga,Tabora,394986,201699,193287,7105.10924
Ikungi,Singida,272550,136539,136011,8931.872629
Ilala,Dar-es-salaam,1220611,624683,595928,370.330138
Ileje,Mbeya,124451,65988,58463,1931.722807
Ilemela,Mwanza,343001,178283,164718,255.125454
Iramba,Singida,236282,119285,116997,4547.841895
Iringa Rural,Iringa,249581,128468,121113,19108.90116
Iringa Urban,Iringa,151345,79413,71932,375.871708
Itilima,Simiyu,317516,167150,150366,4701.430343
Kahama,Shinyanga,523802,267339,256463,6785.164277
Kahama Township Authority,Shinyanga,242208,124710,117498,1369.318294
Kakonko,Kigoma,218706,112861,105845,2215.770573
Kalambo,Rukwa,207700,107226,100474,5693.870494
Kaliua,Tabora,379755,190015,189740,15451.4557
Karagwe,Kagera,332020,168156,163864,5138.618974
Karatu,Arusha,230166,112397,117769,3250.223847
Kaskazini A,Kaskazini Unguja,105780,54214,51566,231.985588
Kaskazini B,Kaskazini Unguja,81675,41127,40548,237.00856
Kasulu,Kigoma,425794,218373,207421,7239.762203
Kasulu Township Authority,Kigoma,157093,82153,74940,917.654927
Kati,Kusini Unguja,76346,37808,38538,511.618395
Kibaha,Pwani,70209,35694,34515,1520.789006
Kibaha Urban,Pwani,128488,65835,62653,714.931891
Kibondo,Kigoma,261331,136047,125284,13477.47664
Kigoma Municipal-Ujiji,Kigoma,215458,111273,104185,93.351314
Kigoma Rural,Kigoma,211566,110067,101499,974.243481
Kilindi,Tanga,236833,118666,118167,6492.784722
Kilolo,Iringa,218130,112274,105856,9416.248722
Kilombero,Morogoro,407880,205091,202789,13839.85172
Kilosa,Morogoro,438175,219797,218378,11949.96578
Kilwa,Lindi,184214,95817,88397,15383.71976
Kinondoni,Dar-es-salaam,1775049,914247,860802,546.357541
Kisarawe,Pwani,101598,50967,50631,5111.276124
Kishapu,Shinyanga,272990,137721,135269,4199.680211
Kiteto,Manyara,244669,124436,120233,13241.29524
Kondoa,Dodoma,269704,133186,136518,5831.902353
Kongwa,Dodoma,309973,160752,149221,4002.403662
Korogwe,Tanga,242038,123494,118544,3226.764478
Korogwe Township Authority,Tanga,68308,35187,33121,227.15477
Kusini,Kusini Unguja,39242,19900,19342,384.115718
Kwimba,Mwanza,397223,203590,193633,3263.555896
Kyela,Mbeya,221490,115478,106012,777.066406
Kyerwa,Kagera,321026,163828,157198,2507.405122
Lindi Rural,Lindi,194143,102496,91647,6160.804398
Lindi Urban,Lindi,78841,41316,37525,1096.421562
Liwale,Lindi,91380,47353,44027,35239.09359
Longido,Arusha,123153,62954,60199,8082.311761
Ludewa,Njombe,133218,69776,63442,6137.073447
Lushoto,Tanga,492441,262205,230236,4117.41977
Mafia,Pwani,46438,23484,22954,654.86199
Mafinga Township Authority,Iringa,51902,26777,25125,584.821136
Magharibi,Mjini Magharibi,370645,193666,176979,220.289462
Magu,Mwanza,306193,156923,149270,1520.419036
Makambako Township Authority,Njombe,93827,49796,44031,904.997984
Makete,Njombe,97266,51966,45300,4101.120047
Manyoni,Singida,296763,150733,146030,29298.97586
Masasi,Mtwara,247993,129017,118976,4150.097514
Masasi Township Authority,Mtwara,102696,53585,49111,780.228042
Maswa,Simiyu,362117,186209,175908,3678.620048
Mbarali,Mbeya,300517,154650,145867,14744.03399
Mbeya Rural,Mbeya,305319,161540,143779,2881.99365
Mbeya Urban,Mbeya,385279,202659,182620,258.696693
Mbinga,Ruvuma,353683,181281,172402,5014.154245
Mbogwe,Geita,193922,98839,95083,2289.269266
Mbozi,Mbeya,446339,233122,213217,3952.84583
Mbulu,Manyara,320279,158731,161548,3817.632821
Meatu,Simiyu,309820,161506,148314,9051.044744
Meru,Arusha,268144,136880,131264,1270.223026
Missenyi,Kagera,202632,102547,100085,2825.993296
Misungwi,Mwanza,359920,181777,178143,2586.12922
Mjini,Mjini Magharibi,223033,116422,106611,15.635796
Mkalama,Singida,188733,95199,93534,3137.60519
Mkinga,Tanga,118065,60305,57760,2730.536078
Mkuranga,Pwani,216397,111271,105126,2873.10225
Mlele,Katavi,282568,142588,139980,30026.22838
Momba,Mbeya,196818,102561,94257,4821.540386
Monduli,Arusha,158929,83314,75615,7006.152946
Morogoro,Morogoro,286248,145424,140824,12655.83031
Morogoro Urban,Morogoro,315866,164166,151700,292.396515
Moshi,Kilimanjaro,466737,240970,225767,1350.505055
Moshi Municipal,Kilimanjaro,184292,95118,89174,63.60691
Mpanda Rural,Katavi,179136,89871,89265,17125.19086
Mpanda Urban,Katavi,102900,52463,50437,322.431874
Mpwapwa,Dodoma,305056,157750,147306,7559.469904
Mtwara Rural,Mtwara,238166,125380,112786,3817.695159
Mtwara Urban,Mtwara,117211,61971,55240,175.489097
Mufindi,Iringa,270280,142254,128026,7681.666244
Muheza,Tanga,204461,103618,100843,1510.164757
Muleba,Kagera,540310,272452,267858,3506.436854
Musoma,Mara,178356,91032,87324,1071.091459
Musoma Municipal,Mara,134327,71633,62694,64.881724
Mvomero,Morogoro,312109,157266,154843,6717.999952
Mwanga,Kilimanjaro,131442,68243,63199,1975.749621
Nachingwea,Lindi,178464,92082,86382,6173.192237
Namtumbo,Ruvuma,201639,103304,98335,22530.16437
Nanyumbu,Mtwara,138146,71970,66176,5399.834149
Newala,Mtwara,199765,107464,92301,2022.196566
Ngara,Kagera,320056,167613,152443,3312.085441
Ngorongoro,Arusha,183472,96804,86668,15944.43434
Njombe Rural,Njombe,85747,45700,40047,3544.800775
Njombe Urban,Njombe,130223,69111,61112,3634.772024
Nkasi,Rukwa,281200,144159,137041,9996.109597
Nyamagana,Mwanza,355988,181902,174086,183.095986
Nyang'hwale,Geita,155435,78698,76737,1611.419537
Nyasa,Ruvuma,146160,74768,71392,3182.789151
Nzega,Tabora,494329,253041,241288,7910.427963
Pangani,Tanga,54025,27155,26870,1779.967092
Pemba,Pemba,406848,209755,197093,1009.398499
Rombo,Kilimanjaro,260963,136435,124528,1474.500945
Rorya,Mara,265241,138994,126247,2002.900928
Ruangwa,Lindi,137610,71081,66529,2594.112268
Rufiji,Pwani,223798,116049,107749,12993.74246
Rungwe,Mbeya,339157,177908,161249,2211.671107
Same,Kilimanjaro,269807,138292,131515,6254.125442
Sengerema,Mwanza,665037,333785,331252,3159.470032
Serengeti,Mara,249420,128021,121399,11170.79364
Shinyanga Rural,Shinyanga,334417,171461,162956,3582.915177
Shinyanga Urban,Shinyanga,161391,82736,78655,556.89197
Siha,Kilimanjaro,116313,59813,56500,1220.263571
Sikonge,Tabora,189431,95838,93593,26573.05759
Simanjiro,Manyara,178693,89718,88975,19930.73177
Singida,Singida,225521,113749,111772,2416.219529
Singida Urban,Singida,150788,77137,73651,725.676274
Songea Rural,Ruvuma,173821,87273,86548,14519.4044
Songea Urban,Ruvuma,203309,106962,96347,598.614565
Sumbawanga Rural,Rukwa,305846,156784,149062,5257.438945
Sumbawanga Urban,Rukwa,209793,109059,100734,1400.667538
Tabora Urban,Tabora,243084,124105,118979,1471.897221
Tandahimba,Mtwara,226877,121819,105058,2121.346931
Tanga,Tanga,273332,142412,130920,601.247153
Tarime,Mara,339693,176707,162986,1535.374073
Temeke,Dar-es-salaam,1368881,699825,669056,739.544604
Tunduma,Mbeya,97562,50708,46854,89.795667
Tunduru,Ruvuma,298279,154619,143660,19099.65858
Ukerewe,Mwanza,345147,175868,169279,628.870556
Ulanga,Morogoro,265203,133641,131562,24054.35753
Urambo,Tabora,193415,97018,96397,5461.763685
Uvinza,Kigoma,383640,194510,189130,10148.55681
Uyui,Tabora,396623,200177,196446,12062.13533
Wanging'ombe,Njombe,161816,86389,75427,3523.7244
