"District","year","n_bites","AnnualGrowthrate","Pop_size","bites_per_pop","bites_per_pop_per_100000","Setting","area_km2","tdogs","est_dogs","low_est_dogs","high_est_dogs","HDR","dog_density"
"Ilala",2011,55,6.5,1146114,4.79882454973938e-05,4.79882454973938,"Urban",370.330138,NA,4678,NA,NA,245.000855066268,12.6319721782946
"Ilala",2012,534,6.5,1220611,0.000437485816529591,43.7485816529591,"Urban",370.330138,NA,4982.20558386654,NA,NA,244.994105412391,13.4534164860937
"Ilala",2013,110,6.5,1299951,8.46185740847155e-05,8.46185740847155,"Urban",370.330138,NA,5306,NA,NA,244.996419148134,14.3277563869241
"Ilala",2014,187,6.5,1384448,0.000135071884245562,13.5071884245562,"Urban",370.330138,NA,5651,NA,NA,244.991682887984,15.2593575843401
"Ilala",2015,204,6.5,1474437,0.000138357895250865,13.8357895250865,"Urban",370.330138,NA,6018,NA,NA,245.004486540379,16.2503652349245
"Kibaha",2011,19,2.7,68363,0.000277928119011746,27.7928119011746,"Rural",1520.789006,759,8611,7952,9325,7.93903147137382,5.66219243170936
"Kibaha",2012,67,2.7,70209,0.000954293609081457,95.4293609081457,"Rural",1520.789006,759,8843,8167,9577,7.93950016962569,5.81474482331969
"Kibaha",2013,63,2.7,72105,0.000873725816517578,87.3725816517579,"Rural",1520.789006,759,9082,8388,9836,7.93933054393305,5.97190008881482
"Kibaha",2014,11,2.7,74051,0.000148546272163779,14.8546272163779,"Rural",1520.789006,759,9327,8614,10101,7.93942318001501,6.13300067478263
"Kibaha",2015,58,2.7,76051,0.000762646119051689,76.2646119051689,"Rural",1520.789006,759,9579,8847,10374,7.93934648710721,6.29870413463523
"Kibaha Urban",2011,21,5,122370,0.000171610688894337,17.1610688894337,"Rural",714.931891,526,5698,5407,6039,21.4759564759565,7.96998996929625
"Kibaha Urban",2012,104,5,128488,0.000809414108710541,80.9414108710541,"Rural",714.931891,526,5983,5677,6341,21.4755139562093,8.3686293412249
"Kibaha Urban",2013,83,5,134912,0.000615215844402277,61.5215844402277,"Rural",714.931891,526,6282,5961,6658,21.4759630690863,8.78685099809039
"Kibaha Urban",2014,36,5,141658,0.000254133194030694,25.4133194030694,"Rural",714.931891,526,6596,6259,6991,21.4763493026076,9.22605367453107
"Kibaha Urban",2015,50,5,148741,0.000336154792558877,33.6154792558877,"Rural",714.931891,526,6926,6572,7341,21.475743574935,9.6876361051853
"Kilombero",2011,190,2.4,398320,0.000477003414340229,47.7003414340229,"Rural",13839.85172,1989,25703,24794,27329,15.4970236937322,1.85717307670692
"Kilombero",2012,133,2.4,407880,0.000326076296950083,32.6076296950083,"Rural",13839.85172,1989,26320,25389,27985,15.4969604863222,1.90175447920189
"Kilombero",2013,76,2.4,417669,0.000181962271559536,18.1962271559536,"Rural",13839.85172,1989,26952,25998,28657,15.4967720391808,1.94741970833774
"Kilombero",2014,102,2.4,427693,0.000238488822590035,23.8488822590035,"Rural",13839.85172,1989,27599,26622,29344,15.4966846624878,1.99416876411448
"Kilombero",2015,36,2.4,437958,8.21996629813818e-05,8.21996629813818,"Rural",13839.85172,1989,28261,27261,30049,15.4969038604437,2.04200164653209
"Kilwa",2011,30,1.1,188669,0.000159008634168835,15.9008634168835,"Rural",15383.71976,606,4801,4124,5018,39.2978546136222,0.312083168108881
"Kilwa",2012,27,1.1,190744,0.000141550979323072,14.1550979323072,"Rural",15383.71976,606,4854,4169,5073,39.2962505150391,0.315528368673299
"Kilwa",2013,14,1.1,192842,7.25982929029983e-05,7.25982929029983,"Rural",15383.71976,606,4907,4215,5129,39.2993682494396,0.318973569237717
"Kilwa",2014,58,1.1,194963,0.000297492344701302,29.7492344701302,"Rural",15383.71976,606,4961,4261,5185,39.2991332392663,0.32248377358637
"Kilwa",2015,84,1.1,197108,0.000426162306958622,42.6162306958622,"Rural",15383.71976,606,5016,4308,5242,39.2958532695375,0.326058981719256
"Kinondoni",2011,116,4.9,1692134,6.85524905238001e-05,6.85524905238001,"Urban",546.357541,349,7466,6859,8851,226.645325475489,13.6650442974301
"Kinondoni",2012,231,4.9,1775049,0.000130137252549085,13.0137252549085,"Urban",546.357541,349,7832,7195,9285,226.64057711951,14.3349352983489
"Kinondoni",2013,348,4.9,1862026,0.000186893201276459,18.6893201276459,"Urban",546.357541,349,8216,7548,9740,226.634128529698,15.0377717583292
"Kinondoni",2014,355,4.9,1953266,0.000181746879329287,18.1746879329287,"Urban",546.357541,349,8618,7917,10217,226.649570666048,15.7735536773711
"Kinondoni",2015,301,4.9,2048976,0.000146902647956833,14.6902647956833,"Urban",546.357541,349,9041,8305,10718,226.631567304502,16.5477719653182
"Kisarawe",2011,44,0.6,100992,0.000435678073510773,43.5678073510773,"Rural",5111.276124,578,4920,4680,5204,20.5268292682927,0.9625776187082
"Kisarawe",2012,57,0.6,101598,0.000561034666036733,56.1034666036733,"Rural",5111.276124,578,4950,4708,5235,20.5248484848485,0.968446994432031
