"District","year","n_bites","AnnualGrowthrate","Pop_size","bites_per_pop","bites_per_pop_per_100000","Setting","area_km2","tdogs","est_dogs","low_est_dogs","high_est_dogs","HDR","dog_density","PEP_access","Dogs"
"Ilala",2011,55,6.5,1146114,4.79882454973938e-05,4.79882454973938,"Urban",370.330138,NA,5195,NA,NA,220.618671799808,14.0280238277555,"free","low"
"Ilala",2012,534,6.5,1220611,0.000437485816529591,43.7485816529591,"Urban",370.330138,NA,5532.92132608816,NA,NA,220.608775737461,14.9405105292515,"free","low"
"Ilala",2013,110,6.5,1299951,8.46185740847155e-05,8.46185740847155,"Urban",370.330138,NA,5893,NA,NA,220.592397760054,15.9128285691941,"free","low"
"Ilala",2014,187,6.5,1384448,0.000135071884245562,13.5071884245562,"Urban",370.330138,NA,6276,NA,NA,220.594008922881,16.9470409129921,"free","low"
"Ilala",2015,204,6.5,1474437,0.000138357895250865,13.8357895250865,"Urban",370.330138,NA,6683,NA,NA,220.625018704175,18.0460602966103,"free","low"
"Kibaha",2011,19,2.7,68363,0.000277928119011746,27.7928119011746,"Rural",1520.789006,759,9082,8388,9836,7.52730676062541,5.97190008881482,"free","high"
"Kibaha",2012,67,2.7,70209,0.000954293609081457,95.4293609081457,"Rural",1520.789006,759,9327.406763,8614.449569,10102.03268,7.52717253401078,6.1332681431812,"free","high"
"Kibaha",2013,63,2.7,72105,0.000873725816517578,87.3725816517579,"Rural",1520.789006,759,9579,8847,10375,7.52740369558409,6.29870413463523,"free","high"
"Kibaha",2014,11,2.7,74051,0.000148546272163779,14.8546272163779,"Rural",1520.789006,759,9838,9086,10655,7.52703801585688,6.46901046837263,"free","high"
"Kibaha",2015,58,2.7,76051,0.000762646119051689,76.2646119051689,"Rural",1520.789006,759,10104,9331,10943,7.52682106096595,6.64391967599482,"free","high"
"Kibaha Municipality",2011,21,5,122370,0.000171610688894337,17.1610688894337,"Rural",714.931891,526,6282,5961,6658,19.4794651384909,8.78685099809039,"free",NA
"Kibaha Municipality",2012,104,5,128488,0.000809414108710541,80.9414108710541,"Rural",714.931891,526,6595.617733,6259.294856,6991.030294,19.4808136555782,9.22551898443708,"free",NA
"Kibaha Municipality",2013,83,5,134912,0.000615215844402277,61.5215844402277,"Rural",714.931891,526,6925,6572,7341,19.4818772563177,9.68623737054695,"free",NA
"Kibaha Municipality",2014,36,5,141658,0.000254133194030694,25.4133194030694,"Rural",714.931891,526,7272,6901,7708,19.4799229922992,10.1715982900531,"free",NA
"Kibaha Municipality",2015,50,5,148741,0.000336154792558877,33.6154792558877,"Rural",714.931891,526,7635,7246,8093,19.4814669286182,10.6793389637727,"free",NA
"Kilombero",2011,190,2.4,398320,0.000477003414340229,47.7003414340229,"Rural",13839.85172,1989,26952,25998,28657,14.7788661323835,1.94741970833774,"free","high"
"Kilombero",2012,133,2.4,407880,0.000326076296950083,32.6076296950083,"Rural",13839.85172,1989,27598.99245,26622.24327,29345.02303,14.7788003760985,1.9941682185884,"free","high"
"Kilombero",2013,76,2.4,417669,0.000181962271559536,18.1962271559536,"Rural",13839.85172,1989,28261,27261,30049,14.7789887123598,2.04200164653209,"free","high"
"Kilombero",2014,102,2.4,427693,0.000238488822590035,23.8488822590035,"Rural",13839.85172,1989,28940,27915,30770,14.7786109191431,2.09106286580937,"free","high"
"Kilombero",2015,36,2.4,437958,8.21996629813818e-05,8.21996629813818,"Rural",13839.85172,1989,29634,28585,31509,14.7789026118647,2.14120791172754,"free","high"
"Kilwa",2011,30,1.1,188669,0.000159008634168835,15.9008634168835,"Rural",15383.71976,606,4907,4215,5129,38.4489504789077,0.318973569237717,"free","low"
"Kilwa",2012,27,1.1,190744,0.000141550979323072,14.1550979323072,"Rural",15383.71976,606,4961.177362,4261.621353,5185.562132,38.4473253185823,0.322495302787549,"free","low"
"Kilwa",2013,14,1.1,192842,7.25982929029983e-05,7.25982929029983,"Rural",15383.71976,606,5016,4308,5243,38.445374800638,0.326058981719256,"free","low"
"Kilwa",2014,58,1.1,194963,0.000297492344701302,29.7492344701302,"Rural",15383.71976,606,5071,4356,5300,38.446657464011,0.329634189852143,"free","low"
"Kilwa",2015,84,1.1,197108,0.000426162306958622,42.6162306958622,"Rural",15383.71976,606,5127,4404,5359,38.4450945972304,0.333274401769264,"free","low"
"Kinondoni",2011,116,4.9,1692134,6.85524905238001e-05,6.85524905238001,"Urban",546.357541,349,8216,7548,9740,205.95593962999,15.0377717583292,"free","low"
"Kinondoni",2012,231,4.9,1775049,0.000130137252549085,13.0137252549085,"Urban",546.357541,349,8618.260284,7917.415103,10216.89367,205.963726031276,15.7740300760304,"free","low"
"Kinondoni",2013,348,4.9,1862026,0.000186893201276459,18.6893201276459,"Urban",546.357541,349,9041,8305,10718,205.95354496184,16.5477719653182,"free","low"
"Kinondoni",2014,355,4.9,1953266,0.000181746879329287,18.1746879329287,"Urban",546.357541,349,9484,8712,11243,205.953816954871,17.3585963188893,"free","low"
"Kinondoni",2015,301,4.9,2048976,0.000146902647956833,14.6902647956833,"Urban",546.357541,349,9948,9139,11794,205.968636911942,18.2078570413655,"free","low"
"Kisarawe",2011,44,0.6,100992,0.000435678073510773,43.5678073510773,"Rural",5111.276124,578,4980,4736,5266,20.2795180722892,0.974316370155861,"free","high"
"Kisarawe",2012,57,0.6,101598,0.000561034666036733,56.1034666036733,"Rural",5111.276124,578,5010.289199,4763.956417,5297.722615,20.277871389196,0.980242326466024,"free","high"
"Kisarawe",2013,51,0.6,102208,0.000498982467125861,49.8982467125861,"Rural",5111.276124,578,5040,4793,5330,20.2793650793651,0.986055121603522,"free","high"
"Kisarawe",2014,40,0.6,102821,0.000389025588158061,38.9025588158061,"Rural",5111.276124,578,5071,4821,5361,20.2762768684678,0.992120143184814,"free","high"
"Kisarawe",2015,69,0.6,103438,0.00066706626191535,66.706626191535,"Rural",5111.276124,578,5101,4850,5394,20.2779847088806,0.997989518908644,"free","high"
"Lindi Rural",2011,9,-1,196104,4.58940154203892e-05,4.58940154203892,"Rural",6160.804398,1754,2816,2238,2748,69.6392045454545,0.457083169352717,"free","low"
"Lindi Rural",2012,18,-1,194143,9.27151635650011e-05,9.27151635650011,"Rural",6160.804398,1754,2788.050653,2215.224709,2720.05564,69.6339572565147,0.452546530109784,"free","low"
"Lindi Rural",2013,2,-1,192202,1.04057189831531e-05,1.04057189831531,"Rural",6160.804398,1754,2760,2193,2693,69.6384057971015,0.447993447234908,"free","low"
"Lindi Rural",2014,9,-1,190280,4.72987176792096e-05,4.72987176792096,"Rural",6160.804398,1754,2733,2171,2666,69.6231247713136,0.443610902642392,"free","low"
"Lindi Rural",2015,11,-1,188377,5.83935406127075e-05,5.83935406127075,"Rural",6160.804398,1754,2705,2149,2639,69.6402957486137,0.439066041583487,"free","low"
"Lindi Municipality",2011,13,6.5,74029,0.000175606856772346,17.5606856772346,"Rural",1096.421562,588,1762,1481,2069,42.0141884222474,1.60704610440706,"free",NA
"Lindi Municipality",2012,25,6.5,78841,0.00031709389784503,31.709389784503,"Rural",1096.421562,588,1876.447754,1577.289437,2203.510896,42.0160912191323,1.71142908807552,"free",NA
"Lindi Municipality",2013,3,6.5,83966,3.57287473501179e-05,3.57287473501179,"Rural",1096.421562,588,1998,1680,2347,42.025025025025,1.82229178013922,"free",NA
"Lindi Municipality",2014,10,6.5,89423,0.000111828053185422,11.1828053185422,"Rural",1096.421562,588,2128,1789,2499,42.0220864661654,1.94085931338151,"free",NA
"Lindi Municipality",2015,11,6.5,95236,0.000115502541055903,11.5502541055903,"Rural",1096.421562,588,2267,1905,2662,42.0097044552272,2.06763536815596,"free",NA
"Liwale",2011,19,2,89588,0.000212081975264544,21.2081975264544,"Rural",35239.09359,531,2339,1826,2586,38.3018383924754,0.0663751465123879,"free","low"
"Liwale",2012,10,2,91380,0.000109433136353688,10.9433136353688,"Rural",35239.09359,531,2386.189572,1862.475165,2637.339545,38.2953647406183,0.0677142721025362,"free","low"
"Liwale",2013,10,2,93208,0.000107286928160673,10.7286928160673,"Rural",35239.09359,531,2434,1900,2690,38.2941659819228,0.0690710160800138,"free","low"
"Liwale",2014,9,2,95072,9.46650959272972e-05,9.46650959272972,"Rural",35239.09359,531,2483,1938,2744,38.2891663310511,0.0704615172254208,"free","low"
"Liwale",2015,5,2,96973,5.15607437121673e-05,5.15607437121673,"Rural",35239.09359,531,2532,1976,2799,38.2989731437599,0.0718520183708278,"free","low"
"Masasi",2011,66,1.2,245052,0.000269330591058224,26.9330591058224,"Rural",4150.097514,349,4967,4577,5547,49.3360177169317,1.1968393473272,"free","low"
"Masasi",2012,118,1.2,247993,0.000475819882012799,47.5819882012799,"Rural",4150.097514,349,5026.548571,4632.16652,5613.937076,49.3366365602757,1.21118806342342,"free","low"
"Masasi",2013,61,1.2,250969,0.000243057907550335,24.3057907550335,"Rural",4150.097514,349,5087,4688,5681,49.3353646550029,1.22575433055234,"free","low"
"Masasi",2014,33,1.2,253981,0.000129930979088987,12.9930979088987,"Rural",4150.097514,349,5148,4744,5749,49.3358585858586,1.24045278035845,"free","low"
"Masasi",2015,5,1.2,257028,1.94531335107459e-05,1.94531335107459,"Rural",4150.097514,349,5210,4801,5818,49.3335892514395,1.25539218835811,"free","low"
"Mkuranga",2011,28,1.8,218979,0.000127866142415483,12.7866142415483,"Rural",2873.10225,262,3822,3476,4258,57.2943485086342,1.33026939782599,"free","low"
"Mkuranga",2012,79,1.8,222921,0.000354385634372715,35.4385634372715,"Rural",2873.10225,262,3890.657865,3538.300573,4334.991332,57.2964798589403,1.35416616829422,"free","low"
"Mkuranga",2013,79,1.8,226934,0.000348118836313642,34.8118836313642,"Rural",2873.10225,262,3961,3602,4413,57.2920979550619,1.3786491587621,"free","low"
"Mkuranga",2014,40,1.8,231018,0.000173146681210988,17.3146681210988,"Rural",2873.10225,262,4032,3667,4492,57.2961309523809,1.40336112298127,"free","low"
"Mkuranga",2015,1,1.8,235177,4.25211649098339e-06,0.425211649098339,"Rural",2873.10225,262,4105,3733,4573,57.2903775883069,1.42876919886857,"free","low"
"Morogoro",2011,164,0.8,283976,0.000577513592697974,57.7513592697974,"Rural",12655.83031,572,17337,16587,18842,16.3797658187691,1.3698824632866,"free","high"
"Morogoro",2012,316,0.8,286248,0.00110393784410721,110.393784410721,"Rural",12655.83031,572,17475.5504,16719.61074,18992.60238,16.3799132758645,1.38083001841386,"free","high"
"Morogoro",2013,128,0.8,288538,0.00044361574558637,44.361574558637,"Rural",12655.83031,572,17615,16853,19145,16.3802441101334,1.39184862379843,"free","high"
"Morogoro",2014,231,0.8,290846,0.000794234749661333,79.4234749661333,"Rural",12655.83031,572,17756,16988,19298,16.3801531876549,1.40298973398609,"free","high"
"Morogoro",2015,98,0.8,293173,0.000334273620012757,33.4273620012757,"Rural",12655.83031,572,17898,17124,19452,16.3802100793385,1.41420985913962,"free","high"
"Morogoro Urban",2011,105,3.3,305775,0.000343389747363257,34.3389747363257,"Urban",292.396515,NA,1386,NA,NA,220.616883116883,4.74013857518103,"free","high"
"Morogoro Urban",2012,201,3.3,315866,0.000636345792203023,63.6345792203023,"Urban",292.396515,NA,1431.79254290365,NA,NA,220.608775737461,4.89674968562346,"free","high"
"Morogoro Urban",2013,86,3.3,326290,0.000263569217567195,26.3569217567195,"Urban",292.396515,NA,1479,NA,NA,220.615280594997,5.05819982156764,"free","high"
"Morogoro Urban",2014,82,3.3,337057,0.000243282293499319,24.3282293499319,"Urban",292.396515,NA,1528,NA,NA,220.587041884817,5.22578047826596,"free","high"
"Morogoro Urban",2015,55,3.3,348180,0.000157964271353897,15.7964271353897,"Urban",292.396515,NA,1578,NA,NA,220.6463878327,5.39678114836629,"free","high"
